id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Chelsey;Wyman;OTHER;"z*@7.=>hG<Z";014-991-5975 x53760;Tennessee relationships Ball;full-range;Parkerfort;Uzbekistan;1
2;Thalia;Buckridge;MALE;"b@*'X(].k^|";(832) 385-8607;violet Compatible primary;Credit Card Account;New Dalestad;Ukraine;2
3;Maxine;Gibson;OTHER;"w0]@MYsVUi.+b[";(301) 227-7081 x51545;Georgia;Robust ivory Ports;Port Darienbury;South Georgia and the South Sandwich Islands;2
4;Levi;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;1
5;Olen;Brekke;MALE;"kbs@[v6S.oz";466.499.8661 x875;Dynamic Meadows;Brand system-worthy Soft;Leuschkeville;India;2
6;Laurence;Bartoletti;OTHER;"efoj2@{|*:.g%t";801.137.7575 x4467;fuchsia;Fantastic invoice;Morarview;Estonia;1
7;Martine;Abshire;FEMALE;"M/'@$ZzkOi.5L}<";572-425-8749 x654;array Awesome;foreground Refined grey;Lake Zita;Paraguay;2
8;Johan;Wolff;OTHER;"lwrwoz@(FSQ9.X,}9V";1-479-070-4986 x050;Sao Tome and Principe;Solutions;Port Raoul;Isle of Man;2
9;Alexa;Kiehn;FEMALE;"#J@08uP5\.`IMKnV";1-757-965-1677 x985;Frozen embrace sexy;silver;Morarstad;Armenia;2
10;Breana;Gleichner;OTHER;"e@bLE+sB.]HQq";1-094-233-8136 x35665;Unions Shoes;Cape Verde Escudo;Kamrynberg;Uruguay;2
